tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2170171	Psipapillomavirus 3	Psipapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
3018866	Bat Coronavirus MsYN20		Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3052611	Pegivirus pteropi	Pegivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
3018918	Bat Coronavirus TpGD17		Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
1244203	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3052613	Pegivirus sturnirae	Pegivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
2447821	Rhinolophus sp. CN 2016 polyomavirus 1		Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
3047703	Orthoflavivirus bukalasaense	Orthoflavivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
2015372	Bat mastadenovirus D	Mastadenovirus	Adenoviridae	Rowavirales	Tectiliviricetes	Preplasmiviricota	Varidnaviria	Viruses			
2911959	Molossus molossus associated gemycircularvirus ansal 1	Gemycircularvirus	Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
11137	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3052157	Cyclovirus kiroptero	Cyclovirus	Circoviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
864596	Bat coronavirus BM48-31/BGR/2008	Betacoronavirus	Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
1959846	Molossus molossus gammaherpesvirus 1		Orthoherpesviridae	Herpesvirales	Herviviricetes	Peploviricota	Duplodnaviria	Viruses			
2970484	Taiwan bat lyssavirus 1	Lyssavirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
2126131	Bat hepadnavirus		Hepadnaviridae	Blubervirales	Revtraviricetes	Artverviricota	Riboviria	Viruses			
2928925	Chifec virus UA13_115					Cressdnaviricota	Monodnaviria	Viruses			
3038996	Bat picornavirus 5		Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3048158	Orthoflavivirus japonicum	Orthoflavivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
1873698	Pteropox virus	Pteropopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Varidnaviria	Viruses			
3018863	Bat Coronavirus MsGD16		Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
118027	Nelson Bay orthoreovirus	Orthoreovirus	Spinareoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Riboviria	Viruses			
2844509	Gemycircularvirus ptero2	Gemycircularvirus	Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
3018914	Bat Coronavirus SkGX17		Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3044264	Pteropus rufus icavirus	Mischivirus	Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3048448	Orthoflavivirus nilense	Orthoflavivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
2053081	Rhinolophus sinicus bocaparvovirus 2	Bocaparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Monodnaviria	Viruses			
1796012	Pacific flying fox faeces associated circular DNA virus-3							Viruses			
2911956	Bat associated cyclovirus 17	Cyclovirus	Circoviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2970485	Taiwan bat lyssavirus 2	Lyssavirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
1329649	Bat bocavirus	Bocaparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Monodnaviria	Viruses			
3060548	Pestivirus S	Pestivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
1622024	Desmodus rotundus endogenous retrovirus	Betaretrovirus	Retroviridae	Ortervirales	Revtraviricetes	Artverviricota	Riboviria	Viruses			
2928982	Wufeng Murina leucogaster paramyxovirus 1		Paramyxoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
3060161	Ledantevirus wenzhou	Ledantevirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
1959845	Molossus molossus circovirus 4	Circovirus	Circoviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2929004	Longquan Rhinolophus affinis vesiculovirus 1	Vesiculovirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
