tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
192025	Coleus blumei viroid 1	Coleviroid	Pospiviroidae					Viruses			
2560615	Nordland virus	Salovirus	Caliciviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
1841147	Bhindi yellow vein alphasatellite		Alphasatellitidae					Viruses			
2955929	Gammafusarivirus lentinualea	Gammafusarivirus	Fusariviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Riboviria	Viruses			
2734088	Aurunvirus STIM5	Aurunvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1945560	Alphamesonivirus karangense	Alphamesonivirus	Mesoniviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3052618	Pestivirus aydinense	Pestivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
1513520	Rhynchosia rugose golden mosaic virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
880162	Ostreococcus lucimarinus virus 1	Prasinovirus	Phycodnaviridae	Algavirales	Megaviricetes	Nucleocytoviricota	Varidnaviria	Viruses			
3048420	Alphatorquevirus homin19	Alphatorquevirus	Anelloviridae					Viruses			
2560849	Eneladusvirus Yen904	Eneladusvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1982885	Likavirus caliburn	Likavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2777710	Rose virus B	Carlavirus	Betaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Riboviria	Viruses			
2844428	Gemycircularvirus chicas2	Gemycircularvirus	Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
407392	Thermus phage phiYS40				Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
36772	Subterranean clover stunt virus	Nanovirus	Nanoviridae	Mulpavirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
51673	Wissadula golden mosaic virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
255431	Klebsiella phage phiKO2				Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2955855	Emaravirus aceris	Emaravirus	Fimoviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
2560350	Blechum yellow vein virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
3052273	Lambdatorquevirus phoci3	Lambdatorquevirus	Anelloviridae					Viruses			
2845189	Audreyjarvisvirus AM4	Audreyjarvisvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2733670	Przondovirus K54	Przondovirus	Autographiviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1923194	Hubei sobemo-like virus 1						Riboviria	Viruses			
1606503	Betapolyomavirus desrotundus	Betapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
2844434	Gemycircularvirus denbre3	Gemycircularvirus	Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
3052267	Jeilongvirus myodesis	Jeilongvirus	Paramyxoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
